filename,kind,beta,Tsteps,steps,stepsPerMeasurement,Nbins,nprocs,rank0_time_s,rank1_time_s,rank2_time_s,rank3_time_s,rank4_time_s,rank5_time_s,total_mean_q,total_max_q,total_mean_sgnW,total_std_sgnW,wall_clock_seconds,total_elapsed_cpu_seconds
notstep_nomeas_tfim_fidsus_beta_0.1.txt,nomeas,0.1,0,1000000,1,100,6,0.700764,0.580494,0.623845,0.582236,0.725892,0.626174,0.156637,8.0,1.0,0.0,0.726229,3.839405
notstep_nomeas_tfim_fidsus_beta_0.16551724.txt,nomeas,0.165517,0,1000000,1,100,6,0.886794,0.894605,0.896409,0.891932,0.887141,0.886245,0.422322667,8.0,1.0,0.0,0.896796,5.343126
notstep_nomeas_tfim_fidsus_beta_0.23103448.txt,nomeas,0.231034,0,1000000,1,100,6,1.1467,1.14998,1.15695,1.1553,1.15575,1.15733,0.792414333,10.0,1.0,0.0,1.15768,6.922009
notstep_nomeas_tfim_fidsus_beta_0.29655172.txt,nomeas,0.296552,0,1000000,1,100,6,1.49564,1.50415,1.50677,1.50476,1.4952,1.49813,1.251109,12.0,1.0,0.0,1.507212,9.00466
notstep_nomeas_tfim_fidsus_beta_0.36206897.txt,nomeas,0.362069,0,1000000,1,100,6,2.26891,2.64564,1.92206,1.90982,1.89342,1.88519,1.75827833,14.0,1.0,0.0,2.64612,12.52504
notstep_nomeas_tfim_fidsus_beta_0.42758621.txt,nomeas,0.427586,0,1000000,1,100,6,2.49449,3.14658,3.24947,2.42729,2.68172,2.25622,2.27817967,16.0,1.0,0.0,3.249796,16.255772
notstep_nomeas_tfim_fidsus_beta_0.49310345.txt,nomeas,0.493103,0,1000000,1,100,6,4.25045,4.27281,4.30321,3.74756,4.2048,3.85247,2.790075,16.0,1.0,0.0,4.303478,24.631297
notstep_nomeas_tfim_fidsus_beta_0.55862069.txt,nomeas,0.558621,0,1000000,1,100,6,5.42927,5.15381,5.32283,5.22362,5.39144,5.3764,3.27403,18.0,1.0,0.0,5.429536,31.897367
notstep_nomeas_tfim_fidsus_beta_0.62413793.txt,nomeas,0.624138,0,1000000,1,100,6,6.79285,6.6234,6.60443,6.67735,6.86456,6.42309,3.70171433,24.0,1.0,0.0,6.864849,39.985685
notstep_nomeas_tfim_fidsus_beta_0.68965517.txt,nomeas,0.689655,0,1000000,1,100,6,7.78068,7.86719,7.77232,7.82513,7.71642,7.68161,4.12213433,22.0,1.0,0.0,7.867399,46.643353
notstep_nomeas_tfim_fidsus_beta_0.75517241.txt,nomeas,0.755172,0,1000000,1,100,6,8.94091,8.91181,8.85112,8.86352,8.87135,8.71866,4.532935,20.0,1.0,0.0,8.941211,53.15738
notstep_nomeas_tfim_fidsus_beta_0.82068966.txt,nomeas,0.82069,0,1000000,1,100,6,10.3726,10.361,10.5213,10.2513,10.235,10.2488,4.896639,22.0,1.0,0.0,10.521604,61.989952
notstep_nomeas_tfim_fidsus_beta_0.8862069.txt,nomeas,0.886207,0,1000000,1,100,6,11.4785,11.4957,11.5434,11.3253,11.3418,11.5794,5.279907,28.0,1.0,0.0,11.579717,68.764197
notstep_nomeas_tfim_fidsus_beta_0.95172414.txt,nomeas,0.951724,0,1000000,1,100,6,11.983,12.171,12.1991,12.0451,12.2635,11.9451,5.591035,24.0,1.0,0.0,12.26374,72.606757
notstep_nomeas_tfim_fidsus_beta_1.01724138.txt,nomeas,1.01724,0,1000000,1,100,6,13.2024,13.3437,13.2909,13.4198,13.0798,13.0775,5.94501033,26.0,1.0,0.0,13.420067,79.414093
notstep_nomeas_tfim_fidsus_beta_1.08275862.txt,nomeas,1.08276,0,1000000,1,100,6,14.1627,14.4353,14.6848,14.0224,14.0527,14.0815,6.31192233,26.0,1.0,0.0,14.685164,85.439414
notstep_nomeas_tfim_fidsus_beta_1.14827586.txt,nomeas,1.14828,0,1000000,1,100,6,15.2799,15.3009,15.3003,15.0397,14.9691,14.794,6.69995867,28.0,1.0,0.0,15.301166,90.683811
