lam,wall_time(s)
0.1,12.036700
0.1,12.055700
0.1,12.061600
0.1,12.181300
0.1,12.200100
0.1,12.202400
0.1,12.203800
0.1,13.745800
0.1,13.795000
0.1,13.846200
0.1,13.868200
0.1,13.883100
0.1,13.885100
0.1,13.885800
0.1,13.890800
0.1,13.894400
0.1,13.894800
0.1,13.896200
0.1,13.896200
0.1,13.899200
0.1,13.900500
0.1,13.902800
0.1,13.903900
0.1,13.906700
0.1,13.910400
0.1,13.914500
0.1,13.916500
0.1,13.917400
0.1,13.917500
0.1,13.917900
0.1,13.921000
0.1,13.921600
0.1,13.922000
0.1,13.922700
0.1,13.923800
0.1,13.926900
0.1,13.930200
0.1,13.930900
0.1,13.931300
0.1,13.932200
0.1,13.932900
0.1,13.933200
0.1,13.933900
0.1,13.934400
0.1,13.935300
0.1,13.935500
0.1,13.937900
0.1,13.938800
0.1,13.940100
0.1,13.942100
0.1,13.944600
0.1,13.945700
0.1,13.946000
0.1,13.946600
0.1,13.947700
0.1,13.949000
0.1,13.953600
0.1,13.957500
0.1,13.957700
0.1,13.958800
0.1,13.962400
0.1,13.963800
0.1,13.972400
0.1,13.976000
0.1,13.978000
0.1,13.979600
0.1,14.004200
0.1,14.014500
0.1,14.017900
0.1,14.023300
0.1,14.028800
0.1,14.065200
0.1,14.067300
0.1,14.109700
0.1,14.122400
0.1,14.122600
0.1,14.132900
0.1,14.160900
0.1,14.162500
0.1,14.165900
0.1,14.168500
0.1,14.173100
0.1,14.179900
0.1,14.180900
0.1,14.195800
0.1,14.197000
0.1,14.207500
0.1,14.207600
0.1,14.218400
0.1,14.219500
0.1,14.220200
0.1,14.228500
0.1,14.243700
0.1,14.244000
0.1,14.245900
0.1,14.278200
0.1,14.297300
0.1,14.318300
0.1,14.361700
0.1,14.495300
0.15,51.418800
0.15,52.193900
0.15,57.778500
0.15,57.851300
0.15,57.855200
0.15,57.894900
0.15,57.895500
0.15,57.954800
0.15,57.958300
0.15,57.983200
0.15,58.001200
0.15,58.002600
0.15,58.007600
0.15,58.008000
0.15,58.017700
0.15,58.024700
0.15,58.045000
0.15,58.059300
0.15,58.062300
0.15,58.074500
0.15,58.086100
0.15,58.088400
0.15,58.092600
0.15,58.105500
0.15,58.109500
0.15,58.115500
0.15,58.127600
0.15,58.128300
0.15,58.130900
0.15,58.135300
0.15,58.136800
0.15,58.145000
0.15,58.150100
0.15,58.152400
0.15,58.158000
0.15,58.175800
0.15,58.187000
0.15,58.193100
0.15,58.203400
0.15,58.203900
0.15,58.220800
0.15,58.243000
0.15,58.267000
0.15,58.269400
0.15,58.278500
0.15,58.279900
0.15,58.298200
0.15,58.299300
0.15,58.300400
0.15,58.306700
0.15,58.327800
0.15,58.328100
0.15,58.328300
0.15,58.341400
0.15,58.346500
0.15,58.352000
0.15,58.377700
0.15,58.387700
0.15,58.409500
0.15,58.415000
0.15,58.418600
0.15,58.420300
0.15,58.425200
0.15,58.435600
0.15,58.442800
0.15,58.474100
0.15,58.487700
0.15,58.496700
0.15,58.515700
0.15,58.596200
0.15,58.633500
0.15,58.695300
0.15,58.710900
0.15,58.724900
0.15,58.733600
0.15,58.754000
0.15,58.755000
0.15,58.756100
0.15,58.773800
0.15,58.787400
0.15,58.810300
0.15,58.837600
0.15,58.845700
0.15,58.854400
0.15,58.856100
0.15,58.856500
0.15,58.865400
0.15,58.929800
0.15,58.963600
0.15,58.983500
0.15,59.024600
0.15,59.044800
0.15,59.120400
0.15,59.123200
0.15,59.126000
0.15,59.220800
0.15,59.222000
0.15,59.281500
0.15,59.554800
0.15,73.417300
0.2,59.663400
0.2,59.709700
0.2,60.409700
0.2,60.420700
0.2,60.485200
0.2,60.496700
0.2,60.642600
0.2,60.652800
0.2,60.675400
0.2,60.701700
0.2,60.703300
0.2,60.711400
0.2,60.737300
0.2,60.777800
0.2,60.782200
0.2,60.789000
0.2,60.851000
0.2,60.924300
0.2,60.939200
0.2,61.039400
0.2,61.193100
0.2,62.376600
0.2,69.658800
0.2,71.777900
0.2,74.610900
0.2,74.711800
0.2,75.620100
0.2,75.658100
0.2,75.766000
0.2,75.973800
0.2,76.225900
0.2,76.485900
0.2,76.510500
0.2,76.532400
0.2,76.553100
0.2,76.684500
0.2,76.693400
0.2,76.727900
0.2,76.860400
0.2,76.862500
0.2,76.948200
0.2,77.085400
0.2,77.176200
0.2,77.239000
0.2,77.498500
0.2,77.563000
0.2,77.666800
0.2,78.081900
0.2,78.370000
0.2,81.163400
0.2,83.618200
0.2,84.162100
0.2,84.602200
0.2,84.676400
0.2,84.720200
0.2,84.737000
0.2,84.755100
0.2,84.776300
0.2,84.808200
0.2,84.859100
0.2,84.867500
0.2,84.869500
0.2,84.873900
0.2,84.940400
0.2,84.940600
0.2,84.946100
0.2,84.954500
0.2,84.962300
0.2,84.971200
0.2,84.974600
0.2,84.975700
0.2,84.987100
0.2,85.052500
0.2,85.060100
0.2,85.062500
0.2,85.069300
0.2,85.082000
0.2,85.106600
0.2,85.125200
0.2,85.126600
0.2,85.145600
0.2,85.150000
0.2,85.960600
0.2,86.287800
0.2,86.313800
0.2,86.987000
0.2,87.536800
0.2,94.995100
0.2,96.362400
0.2,96.840300
0.2,97.840500
0.2,98.679200
0.2,99.282700
0.2,99.423400
0.2,99.659100
0.2,100.179000
0.2,101.009000
0.2,101.511000
0.2,105.948000
0.2,107.910000
0.25,78.987700
0.25,80.296000
0.25,81.484100
0.25,83.061800
0.25,83.289400
0.25,84.568600
0.25,84.864300
0.25,85.810900
0.25,86.428500
0.25,86.452700
0.25,86.483700
0.25,87.163000
0.25,89.700900
0.25,90.103000
0.25,90.228100
0.25,90.785900
0.25,90.991500
0.25,91.037200
0.25,91.079700
0.25,91.434200
0.25,91.618300
0.25,92.996600
0.25,94.842900
0.25,94.861900
0.25,95.084600
0.25,95.249900
0.25,95.601900
0.25,95.722500
0.25,95.933400
0.25,96.080100
0.25,96.115400
0.25,96.155400
0.25,96.201500
0.25,96.295500
0.25,96.536900
0.25,96.977900
0.25,96.995500
0.25,97.208700
0.25,97.300600
0.25,97.580800
0.25,97.588200
0.25,97.787600
0.25,97.828100
0.25,98.040800
0.25,98.231000
0.25,98.326600
0.25,98.414700
0.25,98.484400
0.25,98.513600
0.25,98.788200
0.25,98.798400
0.25,99.106600
0.25,99.265000
0.25,99.280200
