filename,kind,beta,Tsteps,steps,stepsPerMeasurement,Nbins,nprocs,rank0_time_s,rank1_time_s,rank2_time_s,rank3_time_s,rank4_time_s,rank5_time_s,total_mean_q,total_max_q,total_mean_sgnW,total_std_sgnW,wall_clock_seconds,total_elapsed_cpu_seconds
notstep_nomeas_tfim_fidsus_beta_0.1.txt,nomeas,0.1,0,1000000,1,100,6,0.420978,0.348785,0.374549,0.351083,0.442416,0.3768,0.158066667,6.0,1.0,0.0,0.442817,2.314611
notstep_nomeas_tfim_fidsus_beta_0.16551724.txt,nomeas,0.165517,0,1000000,1,100,6,0.509477,0.510559,0.511163,0.508144,0.508208,0.505643,0.425766667,8.0,1.0,0.0,0.511566,3.053194
notstep_nomeas_tfim_fidsus_beta_0.23103448.txt,nomeas,0.231034,0,1000000,1,100,6,0.602071,0.602689,0.604821,0.60392,0.604399,0.606361,0.786966667,8.0,1.0,0.0,0.606643,3.624261
notstep_nomeas_tfim_fidsus_beta_0.29655172.txt,nomeas,0.296552,0,1000000,1,100,6,0.706624,0.716332,0.712013,0.709779,0.706244,0.708481,1.2473,12.0,1.0,0.0,0.716634,4.259473
notstep_nomeas_tfim_fidsus_beta_0.36206897.txt,nomeas,0.362069,0,1000000,1,100,6,1.01797,1.17842,0.858863,0.861795,0.852493,0.849167,1.7606,14.0,1.0,0.0,1.178668,5.618709
notstep_nomeas_tfim_fidsus_beta_0.42758621.txt,nomeas,0.427586,0,1000000,1,100,6,1.09835,1.37251,1.41089,1.0726,1.18195,1.00493,2.27296667,14.0,1.0,0.0,1.411275,7.141235
notstep_nomeas_tfim_fidsus_beta_0.49310345.txt,nomeas,0.493103,0,1000000,1,100,6,1.72268,1.73506,1.74811,1.54263,1.70858,1.57525,2.7962,16.0,1.0,0.0,1.748496,10.032303
notstep_nomeas_tfim_fidsus_beta_0.55862069.txt,nomeas,0.558621,0,1000000,1,100,6,2.12042,2.04031,2.06662,2.0492,2.11612,2.10126,3.2739,18.0,1.0,0.0,2.120804,12.493916
notstep_nomeas_tfim_fidsus_beta_0.62413793.txt,nomeas,0.624138,0,1000000,1,100,6,2.40078,2.34963,2.35109,2.37844,2.42738,2.28827,3.70653333,22.0,1.0,0.0,2.427754,14.195578
notstep_nomeas_tfim_fidsus_beta_0.68965517.txt,nomeas,0.689655,0,1000000,1,100,6,2.62448,2.65427,2.62236,2.65087,2.61425,2.6161,4.11766667,20.0,1.0,0.0,2.65462,15.782341
notstep_nomeas_tfim_fidsus_beta_0.75517241.txt,nomeas,0.755172,0,1000000,1,100,6,2.95759,2.95802,2.94154,2.94422,2.94838,2.91575,4.54026667,20.0,1.0,0.0,2.958421,17.665511
notstep_nomeas_tfim_fidsus_beta_0.82068966.txt,nomeas,0.82069,0,1000000,1,100,6,3.26729,3.25522,3.29162,3.23442,3.23619,3.23956,4.8991,20.0,1.0,0.0,3.291969,19.524294
notstep_nomeas_tfim_fidsus_beta_0.8862069.txt,nomeas,0.886207,0,1000000,1,100,6,3.57767,3.59077,3.59641,3.5548,3.55643,3.60199,5.27726667,24.0,1.0,0.0,3.6023,21.478074
notstep_nomeas_tfim_fidsus_beta_0.95172414.txt,nomeas,0.951724,0,1000000,1,100,6,3.70018,3.7615,3.75884,3.73044,3.78497,3.70216,5.5913,24.0,1.0,0.0,3.785372,22.438074
notstep_nomeas_tfim_fidsus_beta_1.01724138.txt,nomeas,1.01724,0,1000000,1,100,6,3.98407,4.02133,4.05413,4.03476,3.97676,3.95433,5.95033333,24.0,1.0,0.0,4.054391,24.025385
notstep_nomeas_tfim_fidsus_beta_1.08275862.txt,nomeas,1.08276,0,1000000,1,100,6,4.19694,4.25957,4.32747,4.17041,4.18117,4.18497,6.31706667,24.0,1.0,0.0,4.327794,25.320546
notstep_nomeas_tfim_fidsus_beta_1.14827586.txt,nomeas,1.14828,0,1000000,1,100,6,4.47707,4.47775,4.49114,4.41205,4.41066,4.35758,6.69916667,26.0,1.0,0.0,4.491443,26.626256
notstep_nomeas_tfim_fidsus_beta_1.2137931.txt,nomeas,1.21379,0,1000000,1,100,6,4.63527,4.64432,4.76803,4.68685,4.69486,4.59984,7.04413333,26.0,1.0,0.0,4.768376,28.029167
notstep_nomeas_tfim_fidsus_beta_1.27931034.txt,nomeas,1.27931,0,1000000,1,100,6,5.62003,4.90162,5.14623,4.93002,4.97598,4.91906,7.42376667,30.0,1.0,0.0,5.620254,30.492938
notstep_nomeas_tfim_fidsus_beta_1.34482759.txt,nomeas,1.34483,0,1000000,1,100,6,5.07305,5.05946,5.22836,5.11559,5.09792,7.12927,7.76906667,30.0,1.0,0.0,7.129535,32.703652
notstep_nomeas_tfim_fidsus_beta_1.41034483.txt,nomeas,1.41034,0,1000000,1,100,6,5.5033,5.45712,5.54057,5.49305,5.46378,7.39941,8.18593333,30.0,1.0,0.0,7.399704,34.857243
notstep_nomeas_tfim_fidsus_beta_1.47586207.txt,nomeas,1.47586,0,1000000,1,100,6,5.73328,7.73957,8.01966,5.72127,5.81732,5.78803,8.5632,32.0,1.0,0.0,8.019967,38.819142
notstep_nomeas_tfim_fidsus_beta_1.54137931.txt,nomeas,1.54138,0,1000000,1,100,6,6.04971,6.09659,6.25064,9.01737,8.60516,7.67836,8.90293333,36.0,1.0,0.0,9.017639,43.697833
notstep_nomeas_tfim_fidsus_beta_1.60689655.txt,nomeas,1.6069,0,1000000,1,100,6,8.9116,7.59173,9.91438,7.69295,10.1891,6.47287,9.2746,32.0,1.0,0.0,10.189403,50.772636
notstep_nomeas_tfim_fidsus_beta_1.67241379.txt,nomeas,1.67241,0,1000000,1,100,6,8.99005,7.41252,6.74913,7.02513,9.15867,9.15065,9.6372,36.0,1.0,0.0,9.158953,48.486152
notstep_nomeas_tfim_fidsus_beta_1.73793103.txt,nomeas,1.73793,0,1000000,1,100,6,8.07666,10.4293,11.4211,9.12496,10.1717,9.9121,10.0457667,32.0,1.0,0.0,11.42141,59.135893
notstep_nomeas_tfim_fidsus_beta_1.80344828.txt,nomeas,1.80345,0,1000000,1,100,6,9.48081,10.3113,11.1444,9.97189,10.8559,11.5679,10.4236,34.0,1.0,0.0,11.568131,63.332098
notstep_nomeas_tfim_fidsus_beta_1.86896552.txt,nomeas,1.86897,0,1000000,1,100,6,10.5883,11.7784,11.4556,8.46572,10.5875,11.9854,10.7063,32.0,1.0,0.0,11.985659,64.860864
notstep_nomeas_tfim_fidsus_beta_1.93448276.txt,nomeas,1.93448,0,1000000,1,100,6,10.7838,12.4966,12.5415,10.7246,12.5797,12.4439,11.1911,34.0,1.0,0.0,12.579993,71.57002
notstep_nomeas_tfim_fidsus_beta_2.0.txt,nomeas,2,0,1000000,1,100,6,12.9939,12.7865,13.0708,12.3365,12.4142,13.1617,11.4967,36.0,1.0,0.0,13.162005,76.763615
notstep_nomeas_tfim_fidsus_beta_4.0.txt,nomeas,4,0,1000000,1,100,6,33.0738,33.0702,46.5082,32.8781,32.6894,33.0123,22.3727,64.0,1.0,0.0,46.508506,211.232063
notstep_esus_tfim_fidsus_beta_0.1.txt,esus,0.1,0,1000000,1,100,6,0.41361,0.341624,0.367956,0.345941,0.431533,0.370664,0.158066667,6.0,1.0,0.0,0.433094,2.271328
notstep_esus_tfim_fidsus_beta_0.16551724.txt,esus,0.165517,0,1000000,1,100,6,0.52727,0.531982,0.532833,0.528896,0.528896,0.527187,0.425766667,8.0,1.0,0.0,0.534248,3.177064
