beta,Tsteps,steps,n_mpi_processes,stepsPerMeasurement,total_updates,total_mean_q,total_max_q,total_mean_sign,total_std_sign,total_mean_A,total_std_A,total_mean_A2,total_std_A2,total_mean_A_tau_A,total_std_A_tau_A,total_mean_A_Eint,total_std_A_Eint,total_mean_A_Fint,total_std_A_Fint,therm_pass_A,therm_pass_A2,therm_pass_A_tau_A,therm_pass_A_Eint,therm_pass_A_Fint,total_elapsed_cpu_time,wall_clock_time,elapsed_time_rank0,elapsed_time_rank1,elapsed_time_rank2,elapsed_time_rank3,elapsed_time_rank4,elapsed_time_rank5
0.1,100000,1000000,6,10,6000000,0.00019,2.0,1.0,0.0,0.00179603516,0.00137326333,1.29540192,0.074854347,1.29070121,0.0731364848,0.128984478,0.00727303222,0.00161353294,9.14546294e-05,1,1,1,1,1,3.73995,0.631122,0.620306,0.626388,0.62684,0.621976,0.621633,0.622807
0.506122,100000,1000000,6,10,6000000,0.00465666667,2.0,1.0,0.0,-0.00609255527,0.0018526774,1.55794435,0.0191226784,1.5049454,0.0161627696,0.766883208,0.00852237377,0.0482866412,0.000521557511,1,1,1,1,1,4.038014,0.679671,0.674444,0.672375,0.673303,0.670343,0.675629,0.67192
0.912245,100000,1000000,6,10,6000000,0.01389,4.0,1.0,0.0,-0.00730296538,0.00213419807,1.60866992,0.0105537817,1.51863835,0.00756673637,1.40486666,0.00743971969,0.158540939,0.000796080578,0,1,1,1,1,4.538721,0.819429,0.716603,0.815163,0.799452,0.76186,0.729245,0.716398
1.31837,100000,1000000,6,10,6000000,0.0273266667,4.0,1.0,0.0,-0.0159043817,0.00390254675,2.854765,0.491301067,1.75795872,0.099523553,2.47287563,0.209057935,0.394419136,0.0260571563,0,0,0,0,0,4.870485,0.828772,0.788276,0.812343,0.806827,0.818877,0.824485,0.819677
1.72449,100000,1000000,6,10,6000000,0.04523,4.0,1.0,0.0,-0.016583204,0.00405002037,2.37092427,0.238058528,1.59572426,0.0282745454,3.11891759,0.192809815,0.609032371,0.014475616,1,1,1,1,1,6.080032,1.045589,1.01983,0.998116,1.04077,1.03755,0.966774,1.01699
10.2531,100000,1000000,6,10,6000000,1.10954667,10.0,1.0,0.0,-0.093622591,0.00321661006,2.58057021,0.0635057323,1.07049478,0.00239191492,12.437545,0.0746759347,14.4000158,0.0321961345,1,1,1,0,1,33.996979,5.706677,5.65734,5.70266,5.62547,5.66761,5.67597,5.66792
10.6592,100000,1000000,6,10,6000000,1.18217667,10.0,1.0,0.0,-0.0967065322,0.00289040434,2.66708419,0.0672046417,1.0438011,0.00325624694,12.5757819,0.0666630998,15.2007818,0.0464748756,1,0,1,1,0,37.738082,6.366578,6.35356,6.29934,6.24948,6.19707,6.27612,6.36251
11.0653,100000,1000000,6,10,6000000,1.24388667,12.0,1.0,0.0,-0.0952114338,0.00326033224,2.67596453,0.0557016824,1.02613036,0.00278952969,12.8631449,0.0709663122,16.1224469,0.0436340414,1,0,1,1,1,41.514067,7.968648,6.6466,6.69722,6.72533,6.71624,7.96461,6.76406
11.4714,100000,1000000,6,10,6000000,1.31519,12.0,1.0,0.0,-0.105007896,0.00337453919,2.71838185,0.0581430456,1.00169557,0.00230203288,13.266362,0.0749351407,16.9346266,0.0372852462,1,1,1,1,1,45.927405,9.903435,7.42537,7.14215,7.12553,7.18306,7.15178,9.8995
11.8776,100000,1000000,6,10,6000000,1.38271667,10.0,1.0,0.0,-0.105405002,0.00336778282,2.7126737,0.0616409713,0.977409183,0.00453358813,13.4185144,0.0888677653,17.7425501,0.0776602688,0,1,1,1,1,45.717207,7.697805,7.60193,7.69366,7.652,7.65749,7.52321,7.58891
