beta,Tsteps,steps,n_mpi_processes,stepsPerMeasurement,total_updates,total_mean_q,total_max_q,total_mean_sign,total_std_sign,total_mean_A,total_std_A,total_mean_A2,total_std_A2,total_mean_A_tau_A,total_std_A_tau_A,total_mean_A_Eint,total_std_A_Eint,total_mean_A_Fint,total_std_A_Fint,therm_pass_A,therm_pass_A2,therm_pass_A_tau_A,therm_pass_A_Eint,therm_pass_A_Fint,total_elapsed_cpu_time,wall_clock_time,elapsed_time_rank0,elapsed_time_rank1,elapsed_time_rank2,elapsed_time_rank3,elapsed_time_rank4,elapsed_time_rank5
0.1,100000,1000000,6,10,6000000,0.0002,2.0,1.0,0.0,-0.000334910716,0.00965073403,1.48113524,0.0878749982,1.48305804,0.0888696966,0.148663126,0.0090080438,0.00185409287,0.000111134819,1,1,1,1,1,30.812362,5.144744,5.14049,5.13375,5.13359,5.1381,5.13603,5.13041
0.506122,100000,1000000,6,10,6000000,0.00492333333,2.0,1.0,0.0,0.0114275688,0.0119544356,1.60347077,0.0194966649,1.55236083,0.0170478352,0.7946296,0.00924305478,0.0498199776,0.000550341907,1,1,1,1,1,32.419234,5.416135,5.40258,5.40065,5.40183,5.41154,5.40116,5.40146
0.912245,100000,1000000,6,10,6000000,0.01444,4.0,1.0,0.0,0.00303075902,0.0131414022,1.69893229,0.063499772,1.77460117,0.178697597,2.08356353,0.472470996,0.1873704,0.020109013,1,1,0,0,0,38.557168,7.001225,5.8494,6.27565,6.99691,5.84587,6.67518,6.91416
1.31837,100000,1000000,6,10,6000000,0.0280966667,4.0,1.0,0.0,-0.0258644113,0.0130744196,3.83129362,1.20792581,1.93543905,0.222810121,2.92923322,0.437621216,0.442861982,0.0594375991,1,1,1,1,1,42.989914,7.44298,7.21173,6.92242,7.16327,7.43834,7.234,7.02015
1.72449,100000,1000000,6,10,6000000,0.0452783333,6.0,0.999996667,3.33333333e-06,0.0022247379,0.0123712641,2.9865179,0.983131006,1.58527562,0.0495159706,3.02734794,0.216260511,0.614693773,0.0341857288,1,0,1,1,1,48.361582,8.223575,8.08938,8.091,8.04835,8.17192,7.74182,8.21911
10.2531,100000,1000000,6,10,6000000,1.10621,10.0,0.99977,6.92565866e-05,-0.0780451839,0.011580122,2.76262826,0.0890735823,1.07947035,0.00575728007,12.4688871,0.0862478493,14.5256534,0.0742919966,1,1,1,1,1,417.616861,74.069305,63.934,69.1719,74.0653,69.7468,69.9374,70.7616
10.6592,100000,1000000,6,10,6000000,1.17624667,10.0,0.999776667,0.000144860024,-0.0726527677,0.0102474283,2.71712305,0.0845449202,1.04527474,0.0055414346,12.6306942,0.0785959312,15.220817,0.0774211017,1,1,1,1,1,539.25049,95.64185,95.6379,87.1928,89.3104,86.7695,90.7723,89.5676
11.0653,100000,1000000,6,10,6000000,1.24797333,10.0,0.99978,4.41307538e-05,-0.112480213,0.0102855098,2.58119032,0.0664983105,1.02001268,0.00516688712,12.8909429,0.0920554369,16.02,0.0783885142,1,1,0,1,0,585.784641,99.10932,98.0141,96.6664,99.105,96.2279,97.1953,98.576
11.4714,100000,1000000,6,10,6000000,1.29449667,14.0,0.99973,0.000107751553,-0.110503672,0.0103599194,2.52025321,0.0646357548,0.998130648,0.00501230062,13.0932479,0.0835829388,16.8587965,0.0811095089,0,1,1,1,1,638.392887,122.492304,106.351,103.58,122.489,105.217,100.481,100.275
11.8776,100000,1000000,6,10,6000000,1.37781167,10.0,0.999856667,3.3996745e-05,-0.09740141,0.0102052409,2.62077819,0.0714807113,0.975581757,0.00630650574,13.2516941,0.0953606948,17.70421,0.108586307,1,1,1,1,1,667.515247,117.026167,107.204,108.528,110.447,112.99,111.324,117.022
