filename,kind,beta,Tsteps,steps,nprocs,rank0_time_s,rank1_time_s,rank2_time_s,rank3_time_s,rank4_time_s,rank5_time_s,total_mean_q,total_max_q,total_mean_sgnW,total_std_sgnW,wall_clock_seconds,total_elapsed_cpu_seconds
tfim_nomeas_beta_0.1.txt,nomeas,0.1,1000000,10000000,6,4.7418,4.68784,4.70008,4.6686,4.76055,4.69142,0.158433333,6.0,1.0,0.0,4.76084,28.250279
tfim_nomeas_beta_0.16551724.txt,nomeas,0.165517,1000000,10000000,6,5.7115,5.73421,5.70594,5.70282,5.71122,5.71237,0.419066667,8.0,1.0,0.0,5.734505,34.27807
tfim_nomeas_beta_0.23103448.txt,nomeas,0.231034,1000000,10000000,6,6.88319,6.87293,6.8585,6.91068,6.88059,6.87358,0.7884,10.0,1.0,0.0,6.910925,41.279482
tfim_nomeas_beta_0.29655172.txt,nomeas,0.296552,1000000,10000000,6,8.09936,8.12071,10.1876,11.2014,8.09826,8.14328,1.25473333,14.0,1.0,0.0,11.201747,53.850586
tfim_nomeas_beta_0.36206897.txt,nomeas,0.362069,1000000,10000000,6,14.5554,14.7246,14.111,12.5566,13.8393,11.8527,1.74086667,12.0,1.0,0.0,14.724882,81.639652
tfim_nomeas_beta_0.42758621.txt,nomeas,0.427586,1000000,10000000,6,17.4743,17.7593,17.8009,17.4157,17.538,17.0274,2.27543333,16.0,1.0,0.0,17.801085,105.01558
tfim_nomeas_beta_0.49310345.txt,nomeas,0.493103,1000000,10000000,6,21.5305,21.5489,21.5405,21.295,21.54,21.3603,2.79366667,16.0,1.0,0.0,21.549238,128.815254
tfim_nomeas_beta_0.55862069.txt,nomeas,0.558621,1000000,10000000,6,24.4556,24.3412,24.433,24.3576,24.5351,24.3999,3.27123333,18.0,1.0,0.0,24.535389,146.522515
tfim_nomeas_beta_0.62413793.txt,nomeas,0.624138,1000000,10000000,6,28.0846,28.0519,28.0347,28.0469,28.155,28.048,3.73823333,18.0,1.0,0.0,28.155303,168.421149
tfim_nomeas_beta_0.68965517.txt,nomeas,0.689655,1000000,10000000,6,31.133,31.1712,31.0726,31.0967,31.1799,31.2545,4.149,22.0,1.0,0.0,31.254767,186.907838
tfim_nomeas_beta_0.75517241.txt,nomeas,0.755172,1000000,10000000,6,34.186,34.2679,34.1494,34.131,34.2065,34.0787,4.51736667,22.0,1.0,0.0,34.268114,205.019451
tfim_nomeas_beta_0.82068966.txt,nomeas,0.82069,1000000,10000000,6,38.2709,38.3098,38.1441,38.1246,38.358,38.0421,4.8801,22.0,1.0,0.0,38.358262,229.24952
tfim_nomeas_beta_0.8862069.txt,nomeas,0.886207,1000000,10000000,6,41.3278,41.461,41.4264,41.5356,41.3633,41.2809,5.25373333,26.0,1.0,0.0,41.53584,248.39497
tfim_nomeas_beta_0.95172414.txt,nomeas,0.951724,1000000,10000000,6,63.7012,44.2508,43.8839,44.0418,44.0071,43.9384,5.60946667,24.0,1.0,0.0,63.701474,283.823339
tfim_nomeas_beta_1.01724138.txt,nomeas,1.01724,1000000,10000000,6,47.5412,47.7677,47.7426,47.9198,47.7373,47.6329,5.929,26.0,1.0,0.0,47.920107,286.341456
tfim_nomeas_beta_1.08275862.txt,nomeas,1.08276,1000000,10000000,6,50.5284,50.2852,50.8077,71.9853,50.4557,50.5373,6.3178,26.0,1.0,0.0,71.985557,324.599576
tfim_nomeas_beta_1.14827586.txt,nomeas,1.14828,1000000,10000000,6,52.536,72.7063,53.0662,70.7681,52.4338,63.7501,6.7123,28.0,1.0,0.0,72.706589,365.260513
tfim_nomeas_beta_1.2137931.txt,nomeas,1.21379,1000000,10000000,6,55.4935,55.3489,71.4094,75.8283,73.2061,55.4308,7.0616,26.0,1.0,0.0,75.828545,386.71686
tfim_nomeas_beta_1.27931034.txt,nomeas,1.27931,1000000,10000000,6,87.3619,58.4965,81.7757,58.6961,77.6184,76.8492,7.42103333,30.0,1.0,0.0,87.362128,440.797711
tfim_nomeas_beta_1.34482759.txt,nomeas,1.34483,1000000,10000000,6,59.5039,83.7481,69.2296,78.8966,89.0884,90.708,7.74893333,30.0,1.0,0.0,90.708323,471.174683
tfim_nomeas_beta_1.41034483.txt,nomeas,1.41034,1000000,10000000,6,91.3762,85.9192,89.4812,93.6184,81.6143,97.0494,8.18293333,32.0,1.0,0.0,97.049697,539.058761
tfim_nomeas_beta_1.47586207.txt,nomeas,1.47586,1000000,10000000,6,94.8595,100.101,100.997,98.6744,96.3378,97.8109,8.5093,32.0,1.0,0.0,100.996811,588.78073
tfim_nomeas_beta_1.54137931.txt,nomeas,1.54138,1000000,10000000,6,92.3457,98.8289,91.998,105.191,105.319,103.627,8.9067,30.0,1.0,0.0,105.3196,597.309406
tfim_nomeas_beta_1.60689655.txt,nomeas,1.6069,1000000,10000000,6,112.699,111.298,113.59,111.578,114.038,109.829,9.27713333,32.0,1.0,0.0,114.038198,673.032497
tfim_nomeas_beta_1.67241379.txt,nomeas,1.67241,1000000,10000000,6,117.62,116.173,115.361,115.097,117.388,117.267,9.68736667,38.0,1.0,0.0,117.620039,698.904662
tfim_nomeas_beta_1.73793103.txt,nomeas,1.73793,1000000,10000000,6,122.536,123.104,124.918,123.732,123.653,122.433,10.0193667,32.0,1.0,0.0,124.918582,740.377263
tfim_nomeas_beta_1.80344828.txt,nomeas,1.80345,1000000,10000000,6,127.53,129.567,129.889,128.96,129.653,130.177,10.3922,34.0,1.0,0.0,130.176919,775.776109
tfim_nomeas_beta_1.86896552.txt,nomeas,1.86897,1000000,10000000,6,142.998,144.505,143.504,140.41,143.251,144.197,10.7903667,36.0,1.0,0.0,144.505419,858.864598
tfim_nomeas_beta_1.93448276.txt,nomeas,1.93448,1000000,10000000,6,147.229,148.958,149.534,148.124,150.712,149.794,11.2027333,34.0,1.0,0.0,150.712086,894.351312
tfim_nomeas_beta_2.0.txt,nomeas,2,1000000,10000000,6,158.186,156.958,160.009,157.902,157.849,157.404,11.5556,36.0,1.0,0.0,160.009236,948.308148
tfim_nomeas_beta_4.0.txt,nomeas,4,1000000,10000000,6,413.921,423.571,581.055,409.06,412.29,553.544,23.2375333,58.0,1.0,0.0,581.055187,2793.44109
tfim_esus_beta_0.1.txt,esus,0.1,1000000,10000000,6,4.74876,4.68716,4.69811,4.65491,4.75741,4.69562,0.158433333,6.0,1.0,0.0,4.759757,28.241988
tfim_esus_beta_0.16551724.txt,esus,0.165517,1000000,10000000,6,5.58608,5.61763,5.59163,5.58586,5.57696,5.57189,0.419066667,8.0,1.0,0.0,5.620163,33.53004
tfim_esus_beta_0.23103448.txt,esus,0.231034,1000000,10000000,6,6.77954,6.75449,6.74595,6.77023,6.77929,6.75441,0.7884,10.0,1.0,0.0,6.782229,40.583916
tfim_esus_beta_0.29655172.txt,esus,0.296552,1000000,10000000,6,7.99263,7.96637,9.9386,10.8786,7.98017,8.00797,1.25473333,14.0,1.0,0.0,10.880541,52.764316
tfim_esus_beta_0.36206897.txt,esus,0.362069,1000000,10000000,6,13.8887,14.049,13.4522,12.0571,13.2086,11.4282,1.74086667,12.0,1.0,0.0,14.050936,78.083794
tfim_esus_beta_0.42758621.txt,esus,0.427586,1000000,10000000,6,17.1322,17.3978,17.5078,17.1014,17.2244,16.6588,2.27543333,16.0,1.0,0.0,17.510021,103.02243
tfim_esus_beta_0.49310345.txt,esus,0.493103,1000000,10000000,6,21.664,21.7362,21.6941,21.3965,21.6479,21.4566,2.79366667,16.0,1.0,0.0,21.738231,129.595386
tfim_esus_beta_0.55862069.txt,esus,0.558621,1000000,10000000,6,24.2916,24.1189,24.2081,24.1311,24.2846,24.2225,3.27123333,18.0,1.0,0.0,24.293774,145.256772
tfim_esus_beta_0.62413793.txt,esus,0.624138,1000000,10000000,6,28.1561,28.8681,28.1599,28.1789,28.2651,28.2053,3.73823333,18.0,1.0,0.0,28.870253,169.833427
tfim_esus_beta_0.68965517.txt,esus,0.689655,1000000,10000000,6,31.314,31.3865,31.1575,31.2866,31.2773,31.3339,4.149,22.0,1.0,0.0,31.388713,187.755884
tfim_esus_beta_0.75517241.txt,esus,0.755172,1000000,10000000,6,34.3296,34.4136,34.3003,34.1966,34.34,34.2993,4.51736667,22.0,1.0,0.0,34.415793,205.879471
tfim_esus_beta_0.82068966.txt,esus,0.82069,1000000,10000000,6,37.5327,37.637,37.5911,37.5182,37.7179,37.577,4.8801,22.0,1.0,0.0,37.719911,225.573893
tfim_esus_beta_0.8862069.txt,esus,0.886207,1000000,10000000,6,40.7255,40.8471,40.7052,40.7847,40.7733,40.6366,5.25373333,26.0,1.0,0.0,40.849085,244.472396
tfim_esus_beta_0.95172414.txt,esus,0.951724,1000000,10000000,6,62.7639,43.4465,43.2108,43.4449,43.3523,43.2014,5.60946667,24.0,1.0,0.0,62.765841,279.419787
tfim_esus_beta_1.01724138.txt,esus,1.01724,1000000,10000000,6,46.2535,46.4136,46.2699,46.6117,46.3715,46.1998,5.929,26.0,1.0,0.0,46.613776,278.119931
tfim_esus_beta_1.08275862.txt,esus,1.08276,1000000,10000000,6,49.3116,49.0787,49.4213,70.4407,49.4355,49.1622,6.3178,26.0,1.0,0.0,70.442901,316.849923
tfim_esus_beta_1.14827586.txt,esus,1.14828,1000000,10000000,6,51.6912,71.8923,51.8754,69.8679,51.8017,63.099,6.7123,28.0,1.0,0.0,71.894441,360.227432
tfim_esus_beta_1.2137931.txt,esus,1.21379,1000000,10000000,6,54.5033,54.5901,70.6987,75.5078,72.2986,54.6337,7.0616,26.0,1.0,0.0,75.509977,382.23222
tfim_esus_beta_1.27931034.txt,esus,1.27931,1000000,10000000,6,85.9756,57.298,80.4107,57.3937,75.9784,75.6279,7.42103333,30.0,1.0,0.0,85.97787,432.684273
tfim_esus_beta_1.34482759.txt,esus,1.34483,1000000,10000000,6,59.0353,82.4415,68.8643,78.4536,89.512,90.8475,7.74893333,30.0,1.0,0.0,90.849515,469.154206
tfim_esus_beta_1.41034483.txt,esus,1.41034,1000000,10000000,6,89.9933,84.5532,87.9789,91.632,80.4539,95.5917,8.18293333,32.0,1.0,0.0,95.593954,530.202976
tfim_esus_beta_1.47586207.txt,esus,1.47586,1000000,10000000,6,93.357,98.5901,99.0325,96.9468,95.0028,96.1383,8.5093,32.0,1.0,0.0,99.034655,579.067494
