filename,kind,beta,Tsteps,steps,stepsPerMeasurement,Nbins,nprocs,rank0_time_s,rank1_time_s,rank2_time_s,rank3_time_s,rank4_time_s,rank5_time_s,rank6_time_s,rank7_time_s,rank8_time_s,rank9_time_s,rank10_time_s,rank11_time_s,rank12_time_s,rank13_time_s,rank14_time_s,rank15_time_s,rank16_time_s,rank17_time_s,rank18_time_s,rank19_time_s,rank20_time_s,rank21_time_s,rank22_time_s,rank23_time_s,rank24_time_s,rank25_time_s,rank26_time_s,rank27_time_s,rank28_time_s,rank29_time_s,rank30_time_s,rank31_time_s,rank32_time_s,rank33_time_s,rank34_time_s,rank35_time_s,rank36_time_s,rank37_time_s,rank38_time_s,rank39_time_s,rank40_time_s,rank41_time_s,rank42_time_s,rank43_time_s,rank44_time_s,rank45_time_s,rank46_time_s,rank47_time_s,rank48_time_s,rank49_time_s,total_mean_q,total_max_q,total_mean_sgnW,total_std_sgnW,wall_clock_seconds,total_elapsed_cpu_seconds
tfim_nomeas_beta_0.1.out,nomeas,0.1,1000000,10000000,1000,100,50,6.4922,6.45756,6.46507,6.39453,6.23067,6.23336,6.42992,6.44964,6.41469,6.46382,6.4807,6.35814,6.48158,6.43703,6.45995,6.4628,6.38475,6.28445,6.47953,6.40715,6.41123,6.42282,6.44598,6.47769,6.43793,6.44288,6.46111,6.48242,6.44813,6.39775,6.42771,6.41351,6.46629,6.44981,6.48422,6.48515,6.50756,6.46276,6.46768,6.47176,5.90502,5.62015,5.83328,5.57583,5.88358,5.61007,5.90457,5.60925,5.90155,5.60023,0.156728,8.0,1.0,0.0,6.50886434,314.775466
tfim_nomeas_beta_0.16551724.out,nomeas,0.165517,1000000,10000000,1000,100,50,7.27907,7.2993,7.2692,7.29696,7.28258,7.26764,7.26726,7.27438,7.26759,7.268,7.28881,7.27976,7.29259,7.27968,7.27557,7.27984,7.2617,7.30549,7.27457,7.27419,7.29591,7.3087,7.3163,7.27419,7.28976,7.28835,7.32297,7.27111,7.30343,7.26076,7.2811,7.2843,7.26352,7.27714,7.27921,7.29689,7.27895,7.27066,7.31222,7.25821,6.69268,6.31448,6.69386,6.30238,6.67996,6.32078,6.68317,6.3189,6.68305,6.30798,0.422848,10.0,1.0,0.0,7.324401,356.315077
tfim_nomeas_beta_0.23103448.out,nomeas,0.231034,1000000,10000000,1000,100,50,8.41701,8.40062,8.41898,8.40959,8.40661,8.4144,8.45194,8.39552,8.40412,8.41109,8.40653,8.39832,8.39481,8.43687,8.41726,8.40426,8.40952,8.40211,8.39793,8.39541,8.39581,8.41228,8.42007,8.41046,8.41189,8.39801,8.40647,8.39242,8.40727,8.39954,8.40261,8.38734,8.42209,8.40048,8.44841,8.42107,8.4221,8.39809,8.39536,8.42661,7.66399,7.29298,7.67118,7.27683,7.66902,7.28399,7.6815,7.28522,7.65959,7.28656,0.798288,12.0,1.0,0.0,8.45330868,411.142121
tfim_nomeas_beta_0.29655172.out,nomeas,0.296552,1000000,10000000,1000,100,50,12.1885,9.95667,9.95407,9.94492,9.96495,11.8289,9.95798,11.1794,9.93821,9.94452,9.94034,10.398,11.4725,9.93522,9.9804,9.95324,10.0135,9.915,9.95355,9.93286,9.94298,9.9568,9.97356,9.93747,11.0399,9.94996,12.5484,10.0872,13.1959,11.2319,9.93584,9.95308,9.96239,9.94196,9.96905,9.95573,9.9472,9.92184,9.94768,9.95226,9.10912,8.63301,9.10831,9.34808,9.10045,8.63836,9.11839,10.5911,9.08424,8.62152,1.249724,16.0,1.0,0.0,13.1973941,505.05646
tfim_nomeas_beta_0.36206897.out,nomeas,0.362069,1000000,10000000,1000,100,50,16.7333,16.5081,14.6842,15.1077,16.6531,16.2344,15.9394,14.9943,15.9897,13.4062,14.439,16.5331,16.6911,16.683,16.3928,16.3177,16.3444,16.1156,16.0555,12.2244,15.7702,16.5261,15.9686,16.786,14.7144,16.612,16.7036,15.9618,15.6032,16.063,16.3934,15.5882,15.9513,16.133,16.3732,16.3965,12.8267,16.7384,16.7971,16.5898,10.9767,11.603,13.2824,12.3331,13.5983,13.4446,14.4455,13.5083,11.2938,14.5747,1.751892,14.0,1.0,0.0,16.7985069,763.603877
tfim_nomeas_beta_0.42758621.out,nomeas,0.427586,1000000,10000000,1000,100,50,19.3934,19.7288,19.5829,19.7558,20.0511,19.5392,19.8196,19.8448,19.818,19.8625,19.4565,19.5689,19.9348,19.636,19.9025,19.736,19.6717,19.2378,19.7903,19.4573,19.9922,19.4657,19.885,19.8303,19.5548,19.6018,19.823,19.5035,19.5981,19.7511,19.534,19.7123,19.1519,18.7029,19.9453,19.9557,19.7855,19.7972,19.3233,19.7189,18.2517,17.0602,17.9718,17.2898,17.2562,17.1033,17.8143,17.2534,18.1172,16.7925,2.279852,16.0,1.0,0.0,20.0524603,961.330798
tfim_nomeas_beta_0.49310345.out,nomeas,0.493103,1000000,10000000,1000,100,50,24.2566,24.2825,24.2759,24.3133,24.3374,23.9122,24.1748,24.0243,24.1451,24.0919,23.9868,24.0767,24.2269,23.9307,24.0164,23.9566,24.0539,24.1476,24.2014,24.0772,24.2495,23.9242,24.2218,24.2063,24.2463,24.0471,24.2322,24.2236,24.2246,24.2609,24.3298,23.9375,24.3141,24.2049,24.4934,24.3653,24.2458,24.2282,24.1976,24.2491,22.0291,21.0664,22.1611,21.1352,22.0703,21.1072,22.0163,21.0977,22.2499,21.0332,2.793172,18.0,1.0,0.0,24.4952219,1182.85679
tfim_nomeas_beta_0.55862069.out,nomeas,0.558621,1000000,10000000,1000,100,50,27.5397,27.3027,27.5178,27.5643,27.5245,27.4755,27.4418,27.3553,27.6745,27.5633,27.5618,27.5554,27.4585,27.6441,27.6517,27.5849,27.5095,27.4111,27.5347,27.31,27.581,27.5447,27.5076,27.5582,27.6107,27.5025,27.4801,27.5925,27.5955,27.4885,27.5139,27.4888,27.5399,27.5936,27.5023,27.6381,27.4795,27.4463,27.5874,27.5997,25.0431,24.0293,25.1419,24.0072,25.0565,24.0591,25.1814,24.0085,25.1072,23.9959,3.279128,20.0,1.0,0.0,27.6758931,1346.66197
tfim_nomeas_beta_0.62413793.out,nomeas,0.624138,1000000,10000000,1000,100,50,32.2027,32.1721,32.2692,32.2739,32.2779,32.0108,32.2021,32.1075,32.1994,32.1474,32.3704,32.1409,32.373,32.1863,32.2986,32.2049,32.3637,32.0205,32.1816,32.2576,32.3002,32.1692,32.4679,32.2882,32.4247,32.1323,32.141,32.1848,32.1852,32.1271,32.2711,32.2503,32.245,32.2052,32.4448,32.2073,32.1812,32.1789,32.1196,32.2509,29.2109,27.9058,29.2385,28.0556,29.2123,27.9191,29.215,27.8881,29.1623,27.7973,3.724524,20.0,1.0,0.0,32.4692637,1574.64017
tfim_nomeas_beta_0.68965517.out,nomeas,0.689655,1000000,10000000,1000,100,50,35.5504,35.3638,35.3999,35.6147,35.469,35.4099,35.385,35.3845,35.669,35.4421,35.5363,35.4628,35.5704,35.3416,35.5076,35.4872,35.4742,35.4827,35.572,35.3672,35.3975,35.3001,35.5861,35.5262,35.367,35.3629,35.4455,35.4343,35.4512,35.3281,76.5514,35.5268,35.5637,35.4049,35.6093,35.518,35.5032,35.4056,35.5276,35.5068,32.3043,30.6983,32.3348,30.6615,32.2207,30.8641,32.357,30.8272,32.3584,30.7076,4.130236,24.0,1.0,0.0,76.5530561,1775.14038
