L,type,beta,wall_time_s
10,ES,1.176470588235294,1813.972
10,ES,1.176470588235294,1824.543
10,ES,1.176470588235294,1844.5499
10,ES,1.176470588235294,1858.3784
10,ES,1.176470588235294,1858.7818
10,ES,1.176470588235294,1898.9481
10,ES,1.176470588235294,1849.7624
10,ES,1.176470588235294,1853.3734
10,ES,1.176470588235294,1841.63
10,ES,1.176470588235294,1850.4596
10,ES,1.176470588235294,1834.8529
10,ES,1.176470588235294,1839.9957
10,ES,1.176470588235294,1844.6014
10,ES,1.176470588235294,1836.8171
10,ES,1.176470588235294,1832.6631
10,ES,1.176470588235294,1881.91
10,ES,1.176470588235294,1836.606
10,ES,1.176470588235294,1874.0161
10,ES,1.176470588235294,1810.4536
10,ES,1.176470588235294,1866.7435
10,ES,1.2121212121212122,1889.9037
10,ES,1.2121212121212122,1940.104
10,ES,1.2121212121212122,1938.6613
10,ES,1.2121212121212122,1957.999
10,ES,1.2121212121212122,1916.3331
10,ES,1.2121212121212122,1959.8436
10,ES,1.2121212121212122,1946.3653
10,ES,1.2121212121212122,1973.9738
10,ES,1.2121212121212122,1930.6236
10,ES,1.2121212121212122,1944.7202
10,ES,1.2121212121212122,1942.4685
10,ES,1.2121212121212122,1949.2741
10,ES,1.2121212121212122,1933.2864
10,ES,1.2121212121212122,1920.2594
10,ES,1.2121212121212122,1930.2852
10,ES,1.2121212121212122,1939.1734
10,ES,1.2121212121212122,1987.0715
10,ES,1.2121212121212122,1980.672
10,ES,1.2121212121212122,1946.0893
10,ES,1.2121212121212122,1961.7207
10,ES,1.25,1996.3068
10,ES,1.25,2072.1593
10,ES,1.25,2020.0095
10,ES,1.25,2037.5294
10,ES,1.25,2037.3482
10,ES,1.25,2044.9607
10,ES,1.25,2031.6047
10,ES,1.25,2044.2548
10,ES,1.25,2033.7255
10,ES,1.25,2059.1256
10,ES,1.25,2021.9441
10,ES,1.25,2096.7607
10,ES,1.25,2038.6653
10,ES,1.25,2087.0821
10,ES,1.25,2050.3967
10,ES,1.25,2082.0463
10,ES,1.25,1998.903
10,ES,1.25,2057.1275
10,ES,1.25,1992.4306
10,ES,1.25,2063.3329
10,ES,1.2903225806451613,2105.5616
10,ES,1.2903225806451613,2115.2058
10,ES,1.2903225806451613,2152.5856
10,ES,1.2903225806451613,2148.2025
10,ES,1.2903225806451613,2110.284
10,ES,1.2903225806451613,2132.8295
10,ES,1.2903225806451613,2109.584
10,ES,1.2903225806451613,2114.9853
10,ES,1.2903225806451613,2091.0998
10,ES,1.2903225806451613,2097.9984
10,ES,1.2903225806451613,2158.946
10,ES,1.2903225806451613,2115.2885
10,ES,1.2903225806451613,2103.2628
10,ES,1.2903225806451613,2149.2885
10,ES,1.2903225806451613,2096.847
10,ES,1.2903225806451613,2133.274
10,ES,1.2903225806451613,2123.8021
10,ES,1.2903225806451613,2109.6154
10,ES,1.2903225806451613,2145.3773
10,ES,1.2903225806451613,2144.7432
10,ES,1.3333333333333333,2267.6279
10,ES,1.3333333333333333,2281.8462
